user_id,car,comfort,performance,fuel_economy,interior_design,exterior_styling,reliability
856,ExpeditionXLT,1,4,5,3,4,4
607,ElantraSport,2,1,1,2,3,4
484,ElantraSEL,3,3,2,4,4,2
872,Mazda3,2,4,1,1,1,2
1386,FocusSE,4,3,2,5,5,4
1751,GLCGLC,5,4,4,1,4,5
962,EscapeSE,4,1,3,2,1,1
1157,Savana,5,1,2,1,2,4
1870,TraxFWD,5,4,1,3,3,5
507,F-150Limited,1,2,4,4,4,1
713,CTS-V,4,3,3,3,5,5
62,ColoradoCrew,2,3,5,5,5,4
549,200LX,4,1,2,3,1,4
1371,500LPop,5,3,4,4,3,2
1012,TiguanSEL,2,5,1,1,1,2
1203,E-Series,3,2,5,1,5,3
308,FiestaTitanium,1,2,4,1,3,1
768,ATS,4,4,3,1,3,5
1072,EquinoxAWD,5,2,2,3,1,4
133,500XLounge,1,3,5,3,4,4
817,WRXPremium,3,4,1,4,4,3
1493,SportageLX,3,1,5,2,2,1
1943,Fusion,3,2,3,4,3,3
749,CherokeeLatitude,5,2,1,4,3,5
1097,AMG,4,4,2,4,3,4
796,CruzeSedan,3,1,3,1,5,2
370,SportageLX,5,1,3,3,5,1
127,Acadia,4,2,3,2,2,1
1208,OdysseyLX,5,2,4,5,3,1
1149,TLXSH-AWD,5,3,2,3,4,2
133,Malibu1LS,3,3,5,1,2,3
77,VeranoSport,4,1,4,2,1,3
54,G905.0L,1,4,5,2,5,4
364,EdgeSport,4,1,4,2,3,1
1519,DurangoSXT,2,4,2,4,4,1
1526,F-150Platinum,2,3,5,4,1,3
1575,ColoradoCrew,1,1,1,5,3,2
1716,300Limited,2,1,1,1,5,1
255,ChargerSXT,2,2,4,3,1,3
1480,ElantraSE,4,1,2,5,1,2
995,XC90T5,5,5,2,4,3,5
1328,MustangV6,4,3,3,2,4,5
1942,EdgeSE,1,4,5,4,4,2
533,TT,1,4,1,5,3,4
310,HR-VLX,5,4,1,5,2,1
1574,ATS,5,3,2,3,3,1
124,Yukon4WD,3,5,2,3,4,4
364,Q73.0,3,4,4,1,2,5
443,RDXFWD,2,3,3,2,2,3
1114,DurangoGT,1,1,4,5,2,2
680,Q3Premium,3,2,1,2,2,1
1065,X1xDrive28i,3,1,4,3,1,4
987,488,4,2,5,4,2,3
760,ImpalaLS,2,3,2,3,1,4
1127,X1xDrive28i,1,1,4,5,3,2
1626,TaurusSHO,2,2,3,3,4,4
711,Malibu1LT,2,4,2,2,3,2
1209,FusionHybrid,1,1,1,3,1,3
201,VeranoSport,4,5,1,2,5,3
717,CanyonExtended,4,5,4,2,1,5
1800,FusionHybrid,4,2,4,5,1,1
1176,OdysseyTouring,4,5,4,1,5,4
602,ChargerSE,4,3,1,4,4,5
1911,Forester2.0XT,3,5,4,5,4,2
1539,CherokeeLatitude,5,4,1,3,3,2
58,TaurusSHO,4,2,5,4,3,4
676,California,5,3,5,1,4,5
878,MustangEcoBoost,4,4,3,4,2,5
1342,DurangoCitadel,1,3,2,5,5,1
142,X1xDrive28i,2,1,3,1,1,1
170,CX-3Touring,2,4,1,1,5,5
554,TLXFWD,4,5,2,3,4,1
