user_id,car,comfort,performance,fuel_economy,interior_design,exterior_styling,reliability
884,i394,4,2,4,2,2,5
1531,XT5AWD,4,1,2,2,5,2
1229,ChallengerGT,1,4,1,4,1,2
200,GLEAMG,2,5,2,2,3,2
480,TaurusSHO,5,3,4,4,2,3
393,RDXAWD,4,3,3,1,4,2
175,CamryXLE,4,5,1,5,2,1
1825,CTS-V,3,2,3,3,4,5
1037,488,5,5,4,2,4,2
227,CompassSport,5,2,4,1,5,4
1114,JourneySE,2,4,5,2,1,1
88,A6Premium,4,3,1,2,2,5
1798,C-Max,4,3,2,3,3,4
926,FocusRS,5,3,3,2,2,1
1543,Yukon4WD,3,5,1,4,2,5
1259,SorentoEX,1,5,1,1,5,2
238,C-ClassC,2,1,3,3,3,4
1973,EncorePreferred,1,3,2,3,1,5
1297,TLXFWD,4,5,2,4,5,1
91,Rover,5,4,1,3,3,5
423,EdgeTitanium,2,1,3,4,2,2
573,SLSL,5,5,3,1,3,1
542,X4xDrive28i,2,2,4,4,3,5
661,Transit,2,3,5,3,2,4
1652,Q5Premium,2,3,4,5,3,2
644,Rover,4,4,5,2,2,2
1558,Q3quattro,4,1,5,4,1,5
270,FusionPlatinum,4,5,5,2,4,4
432,FocusS,5,4,3,5,4,4
1730,JourneySE,1,3,1,1,2,5
1673,SonataLimited,4,3,5,4,4,4
1447,Expedition,5,4,4,3,4,5
1125,X3xDrive35i,3,2,4,5,2,3
581,FiestaS,4,3,4,5,2,5
1525,F-150Lariat,2,5,4,5,4,3
397,MalibuPremier,4,4,4,1,1,1
1476,Savana,5,3,5,2,5,4
1093,G803.3T,5,2,3,5,1,4
661,Santa,1,1,4,4,5,3
184,C-ClassAMG,4,5,4,3,4,1
1573,F-150XLT,5,1,2,3,4,3
376,500LPop,5,3,3,4,3,1
750,EnclaveLeather,4,1,3,2,3,1
247,Explorer4WD,3,1,1,3,4,2
1139,A5,4,2,3,4,3,3
1166,C-Max,3,1,5,3,3,5
142,OptimaEX,2,5,5,3,2,3
1899,ExplorerFWD,2,1,2,5,2,2
1097,Outback2.5i,1,2,4,3,5,1
273,FlexLimited,5,1,4,1,3,5
1540,MustangEcoBoost,4,5,1,5,3,3
713,Express,3,1,4,3,5,3
1919,500LPop,4,1,5,5,3,3
690,300300C,5,2,5,3,3,4
698,SonataSEL,5,3,3,4,3,1
818,DurangoCitadel,4,3,3,4,2,5
375,Savana,3,3,2,5,4,3
1009,CamaroConvertible,3,2,2,2,3,3
633,G805.0L,3,5,3,1,4,4
1903,A63.0T,1,1,3,4,3,1
595,CLAAMG,3,4,5,3,4,5
692,Forester2.5i,2,4,2,1,2,2
890,Suburban2WD,1,2,2,3,4,3
1973,Express,5,1,2,4,1,5
1234,CorollaLE,3,2,5,3,2,1
1738,CX-9Grand,3,1,5,1,5,5
737,ILXAutomatic,1,3,1,5,4,1
1572,XC90T6,1,4,3,3,5,5
778,Silverado,5,2,5,3,3,2
1634,F-150XLT,4,5,4,3,4,1
360,SonataSEL,1,1,3,5,5,5
1950,S4Prestige,3,4,1,5,4,2
982,500XLounge,5,3,5,3,4,5
77,Yukon4WD,4,4,1,1,3,2
1578,ElantraValue,2,3,1,5,1,3
789,CorvetteStingray,5,3,3,2,5,4
1477,CountrymanCooper,4,5,4,4,4,3
165,E-ClassE,5,2,2,3,2,1
342,Explorer4WD,5,1,1,1,4,1
1310,X3xDrive35i,4,1,2,1,2,3
1605,ExplorerFWD,3,5,2,3,4,4
1115,CorvetteCoupe,5,2,4,1,4,1
1261,GLSGLS,3,1,1,1,3,4
229,XT5AWD,4,3,5,2,2,1
1157,GLEGLE,4,3,3,2,2,3
1342,PacificaTouring-L,1,3,3,3,5,4
916,WRXManual,3,5,2,5,4,3
609,RidgelineRTL,4,1,3,4,1,4
1131,AMG,5,5,1,2,5,1
886,JourneySXT,3,4,3,5,5,1
665,XT5Luxury,2,5,5,2,4,2
1622,FusionSE,4,3,5,1,3,4
1113,A6Premium,1,3,2,2,1,5
1851,VeranoSport,3,2,2,3,1,3
990,Acadia,2,5,3,4,2,1
973,DurangoCitadel,3,1,3,2,3,5
932,124,4,1,2,4,3,2
795,TraxFWD,2,3,2,4,3,5
1582,CamryXLE,2,5,5,4,3,3
1208,ChargerSRT,5,2,4,2,2,3
579,EdgeSEL,1,1,4,1,4,1
243,TahoeLT,4,5,1,3,1,2
1367,TaurusSHO,3,4,3,3,2,5
1332,CT6,1,5,4,3,3,4
1092,A6Premium,3,1,2,2,5,1
1318,TraverseFWD,3,2,5,2,5,4
1298,E-ClassE,1,5,1,3,1,5
1870,XTSFWD,1,5,5,1,2,2
1975,FlexSE,5,2,2,3,1,1
1041,500Pop,2,1,4,2,3,1
440,E-Series,3,5,5,3,2,4
1550,RDXAWD,4,1,4,2,3,4
1139,ILXAutomatic,3,4,5,1,2,2
1050,VoltLT,1,3,4,5,5,4
518,CLAAMG,5,1,3,4,5,4
432,SorentoLX,3,3,2,3,1,3
167,RDXAWD,5,4,5,2,3,2
611,488,1,5,1,4,4,2
436,Q5Premium,1,5,1,1,5,5
1008,200Limited,2,2,2,3,4,5
1862,G903.3T,1,4,3,4,2,3
649,4,1,5,4,5,5,1
1227,LCLC,1,3,4,3,5,3
899,FocusS,4,2,5,3,1,5
1956,TiguanS,4,1,1,2,2,2
1851,California,4,2,5,5,4,3
1819,F-150XLT,1,1,1,3,4,3
1447,FitEX-L,3,2,3,1,2,3
517,TaurusSE,1,4,1,2,4,5
949,HR-VEX,2,4,2,4,4,4
418,X4M40i,1,4,5,2,1,4
1957,Santa,1,2,4,5,5,5
757,F-150XLT,4,2,1,4,5,3
510,AMG,1,5,5,2,2,1
171,500cPop,1,2,1,4,4,4
1275,Yukon,1,1,2,2,3,4
701,Santa,3,3,3,1,2,5
26,AvalonHybrid,2,2,2,5,2,4
1327,XTSFWD,1,4,5,1,2,1
190,300300C,4,5,4,4,2,2
947,MalibuLT,1,1,2,4,5,4
1226,TraverseFWD,3,2,1,4,4,3
495,CorvetteConvertible,5,5,2,4,5,3
1972,EdgeSE,4,3,2,2,3,2
814,CamaroCoupe,4,1,1,1,5,4
146,Santa,3,1,4,2,4,1
1309,SorentoLX,5,5,1,1,1,1
407,Soul#NAME?,5,3,2,4,4,4
1700,XT5FWD,5,4,3,2,2,3
559,TLXFWD,4,4,4,5,5,2
944,JourneyGT,3,5,1,5,4,5
942,300Limited,2,1,3,3,1,5
1362,488,4,1,4,4,1,4
