user_id,car,comfort,performance,fuel_economy,interior_design,exterior_styling,reliability
1237,TiguanS,2,2,4,4,1,5
1464,EnclaveLeather,3,5,5,3,5,3
1684,EnclaveLeather,4,4,2,3,2,3
809,Elantra,4,1,3,3,4,1
1657,CorvetteCoupe,5,2,1,5,2,1
1099,AcadiaFWD,5,1,3,2,3,1
1053,EscapeS,3,1,5,2,3,2
1597,GLEGLE,1,2,3,5,3,2
1513,FitEX-L,3,4,4,2,1,1
460,C-Max,3,4,2,5,1,3
1177,Transit,4,4,3,5,4,3
22,EscapeS,3,3,5,1,2,5
908,Crosstrek2.0i,4,3,4,1,2,1
331,Q73.0,4,4,4,4,5,4
1771,ElantraSE,3,1,2,2,4,2
1926,EscapeFWD,2,2,4,3,2,4
612,EncoreFWD,3,1,5,4,1,2
1863,C-ClassAMG,1,3,3,1,5,1
1532,E-ClassE,3,3,4,1,4,2
313,488,5,2,5,2,4,5
1243,ExpeditionPlatinum,5,3,3,1,1,2
173,Challenger392,1,2,1,1,5,2
897,ATS,1,2,3,5,1,2
1219,DurangoR/T,5,4,1,4,1,5
1352,ElantraSEL,1,1,1,5,5,4
670,EncoreFWD,2,4,2,1,2,5
169,Fusion,3,3,1,1,5,3
1271,Rover,5,1,5,5,5,4
4,500cPop,4,3,4,2,4,5
593,XE25t,5,2,3,5,3,5
745,200LX,5,5,1,2,5,4
386,CorvetteGrand,1,5,5,4,1,5
1319,S60T5,1,4,3,4,3,1
1727,ExpeditionXLT,3,3,4,3,4,1
1792,500cPop,3,2,5,4,3,1
1293,XT5Luxury,5,1,1,4,4,2
1320,EdgeSEL,1,3,2,3,5,4
655,Acadia,3,2,3,2,5,5
710,SportageLX,5,4,3,2,4,4
1290,X3xDrive35i,1,3,4,1,1,3
418,CountrymanCooper,1,2,4,2,1,3
1843,X4M40i,4,2,4,1,5,5
454,EdgeSEL,3,4,1,4,2,4
748,FitEX-L,5,5,4,2,5,3
713,500XPop,2,2,3,2,3,1
235,TraverseAWD,2,4,1,3,5,4
474,500XTrekking,5,4,5,2,2,5
680,ImpalaLT,1,4,3,3,5,3
708,Escape4WD,4,1,2,3,3,5
450,GLSGLS,2,4,1,2,3,1
788,C-ClassC,4,3,4,3,2,1
1100,500LTrekking,3,1,3,2,4,1
1416,ChallengerSXT,2,4,3,3,1,2
1645,Q50Red,4,1,2,3,2,5
1359,LCLC,5,3,4,2,2,1
1024,ImpalaLT,2,2,2,4,1,3
76,Explorer4WD,2,3,1,4,1,3
215,F-150Limited,3,1,4,4,4,3
1128,ExpeditionLimited,4,4,2,1,5,5
110,SorentoLX,2,1,1,2,4,4
1464,X5xDrive35i,2,5,2,5,3,4
113,E-ClassE,4,4,5,1,3,3
1946,300Limited,5,3,3,4,5,1
829,CruzeSedan,4,3,1,5,1,2
813,EscapeFWD,1,5,2,5,5,1
1620,FocusSE,1,2,3,5,2,4
51,XTSFWD,5,4,4,2,4,4
589,AvalonXLE,2,5,5,2,5,3
1454,SLSL,5,4,1,5,3,1
677,OdysseyEX-L,4,1,4,5,5,4
761,Q3Premium,1,4,1,3,1,4
474,EquinoxAWD,5,4,1,4,5,4
574,500LPop,1,5,5,1,2,3
838,CruzeSedan,3,3,4,3,3,4
658,JourneyCrossroad,2,4,2,2,5,2
929,CorollaLE,3,4,4,3,3,1
322,PacificaLimited,5,4,4,4,4,5
731,Outback2.5i,5,4,1,1,1,3
714,CanyonExtended,4,2,5,5,5,4
1700,EnclaveLeather,1,4,3,2,4,2
705,CanyonCrew,5,2,3,3,2,4
1782,Explorer4WD,4,5,2,5,4,3
975,500LPop,3,5,5,5,3,4
888,200Limited,4,5,1,1,4,5
1631,TraxFWD,4,4,1,2,5,2
1067,Outback2.5i,1,5,3,5,2,2
1877,ChallengerSRT,3,4,1,3,4,2
389,F-150Raptor,2,1,3,1,5,2
1665,SportageEX,1,3,2,1,1,4
277,FusionS,2,5,2,4,5,4
657,AMG,5,2,5,3,1,4
1499,Romeo,3,4,3,4,2,2
1892,i394,5,4,4,5,2,4
1605,ChallengerSRT,3,5,4,1,1,2
778,AcadiaAWD,1,2,2,4,4,3
137,F-150XLT,5,3,4,2,4,3
1830,XE25t,2,1,2,2,4,2
1276,ColoradoCrew,2,5,2,5,2,3
1027,500Pop,5,5,2,2,3,5
1936,Civic,1,4,4,5,2,5
439,EdgeSE,5,2,4,3,2,5
457,X5xDrive35i,1,4,2,2,4,1
1056,TahoePremier,5,3,4,3,2,3
1423,CompassLatitude,4,4,5,4,5,2
649,CorvetteCoupe,2,4,4,2,2,1
1616,XT5Luxury,4,5,4,2,3,3
817,X4xDrive28i,2,1,4,2,4,1
607,CorvetteStingray,4,4,3,1,2,3
1506,MalibuLT,4,2,5,2,1,5
286,5,1,2,3,1,2,5
332,ChargerSRT,1,3,2,2,5,1
374,SorentoSX,4,2,4,2,5,4
1753,ChargerSXT,4,4,2,5,4,4
1621,JourneySXT,2,4,2,3,5,5
1527,GLSGLS,3,4,4,2,3,4
1452,EdgeTitanium,4,3,4,5,2,2
576,CorvetteConvertible,4,3,5,1,5,4
1623,G903.3T,5,4,4,2,1,5
1584,Yukon2WD,3,3,3,1,1,4
1268,SonataSEL,4,4,4,3,4,2
296,FocusSEL,4,1,4,1,2,3
1777,X5xDrive35i,5,3,1,5,5,1
1862,Q3quattro,5,1,3,1,2,1
515,X3xDrive35i,1,3,1,1,2,3
1203,FlexLimited,2,3,5,5,4,5
130,CorvetteConvertible,1,5,5,2,4,4
254,G905.0L,4,3,3,1,2,2
663,X4M40i,1,2,2,1,3,4
1450,A62.0T,5,1,4,3,5,5
718,F-150Lariat,4,1,4,4,4,4
1653,QX30Premium,4,2,5,1,1,1
1698,S4Prestige,3,2,2,1,3,1
583,Q5Premium,4,3,4,5,1,2
1756,FocusS,2,5,4,1,4,4
1141,CX-3Touring,4,2,4,4,4,5
432,A4Season,3,3,2,3,4,4
703,RidgelineSport,1,1,4,4,1,5
414,F-150XL,4,5,1,4,1,1
1589,300300S,2,5,4,2,3,1
1447,500,4,5,2,3,5,3
3,XTSFWD,3,2,4,5,2,3
119,TerrainAWD,4,3,1,4,5,4
577,SQ5Premium,5,1,2,5,4,3
1686,XT5AWD,1,5,5,5,5,4
1653,CountrymanCooper,4,5,3,1,5,1
258,CruzeSedan,3,4,3,2,3,1
332,PacificaTouring,2,4,1,1,3,1
365,MalibuPremier,1,1,5,2,4,1
1363,Q52.0,5,2,2,2,2,4
1789,FitEX-L,2,1,4,4,4,4
858,ImpalaLS,2,5,5,3,3,4
1435,EncoreFWD,4,5,4,3,5,2
1334,California,4,3,5,5,1,3
1353,FiestaS,4,3,4,2,4,1
1972,G903.3T,3,5,1,5,2,1
1814,VoltLT,4,1,3,5,3,4
1056,A62.0T,3,3,2,2,5,2
1323,Crosstrek2.0i,5,1,2,5,4,5
1331,Transit,5,5,3,1,1,3
1022,A3,2,2,5,4,4,4
1403,CountrymanCooper,2,1,3,1,3,3
1656,Yukon2WD,2,1,2,4,3,4
1089,500XPop,1,4,4,1,4,3
521,C-ClassC,1,5,1,4,3,1
1902,AvalonHybrid,1,1,1,2,4,1
166,CamaroConvertible,4,2,5,2,2,4
1511,Grand,3,2,4,4,4,4
1766,4,1,3,3,4,5,2
547,GLEAMG,3,1,1,1,4,5
178,F-150Limited,1,5,1,5,2,4
163,Altima2.5,5,4,5,1,4,2
20,MustangShelby,2,5,5,5,2,5
1237,X1xDrive28i,5,2,3,5,5,4
1535,A5,2,4,4,2,1,3
1905,AvalonHybrid,5,4,5,2,4,4
113,Hardtop,5,4,2,3,1,3
764,3,5,2,1,4,2,5
930,ImpalaLS,5,1,4,5,5,4
1073,OptimaEX,1,1,3,1,5,1
1939,ATS,5,5,1,2,4,3
300,SQ5Premium,2,5,1,4,5,1
512,488,2,3,2,3,1,2
567,ChallengerGT,1,5,2,2,4,1
1578,FusionTitanium,1,4,1,5,3,5
258,TraverseAWD,3,1,3,3,3,3
715,Q52.0,3,3,5,2,3,4
525,500LLounge,2,2,1,2,3,5
200,AcadiaAWD,2,3,1,2,5,2
1563,FusionPlatinum,2,2,4,5,4,3
1050,FiestaTitanium,5,5,3,1,3,2
1971,Sierra,1,1,1,4,2,5
128,GLEAMG,3,1,3,3,5,4
1317,SonataSE,4,4,3,2,1,5
1951,California,2,2,2,1,2,5
1958,F-PACE35t,5,5,5,1,2,3
877,FocusS,4,1,2,2,5,4
962,ChargerR/T,2,2,1,3,3,1
1485,ExpeditionKing,5,3,3,3,1,5
951,FusionSE,4,5,4,2,3,3
1111,GLCGLC,1,1,2,5,2,2
134,FusionTitanium,3,1,1,5,2,4
1325,XTSFWD,5,1,4,5,3,5
1263,Sierra,3,1,1,2,4,4
248,EdgeSEL,3,2,1,5,1,5
821,HR-VEX,1,1,5,4,1,4
978,500cPop,5,3,5,2,5,5
1530,Hardtop,1,3,3,3,3,4
1579,CompassLatitude,4,5,5,5,1,3
878,TraverseFWD,2,3,2,5,4,5
1957,HR-VLX,4,4,2,1,3,4
85,CT6,4,2,5,4,4,3
1989,CX-3Touring,3,4,4,1,3,5
89,F-150Lariat,3,1,2,5,4,2
555,ExplorerFWD,2,2,5,1,1,2
262,CLAAMG,2,3,4,2,2,5
1859,HR-VEX-L,1,3,1,2,4,1
1190,XT5AWD,1,5,5,4,1,1
1947,4,5,3,4,5,4,3
1690,MalibuLT,2,5,5,5,5,2
1211,Suburban2WD,2,3,3,4,1,3
713,SorentoEX,1,5,5,2,4,1
338,TiguanS,4,5,4,1,3,4
287,XTSFWD,4,2,4,3,5,1
1101,MDXFWD,5,4,3,3,1,5
1024,Forester2.0XT,5,1,3,4,5,1
1954,MalibuPremier,3,3,5,2,1,1
470,A5,5,5,5,5,5,4
85,Outback2.5i,5,4,2,5,3,4
1629,OptimaEX,1,2,1,2,3,5
1745,Q73.0,4,4,1,5,3,2
192,S3Premium,4,4,5,2,5,3
1039,200LX,3,5,5,1,4,4
194,EdgeSE,4,4,5,5,4,4
1472,OdysseyTouring,4,4,1,1,4,2
832,PacificaLX,1,2,3,3,3,1
1278,ExpeditionXLT,5,5,1,3,4,3
1678,DurangoR/T,4,3,5,1,4,3
293,Suburban2WD,1,3,5,4,2,4
1120,SLSL,2,1,4,4,1,3
975,C-Max,1,4,1,5,5,5
1679,E-Series,2,2,5,4,2,4
1207,SQ5Premium,2,2,1,2,1,3
960,Transit,1,4,3,1,3,5
1713,ChargerDaytona,1,2,3,3,1,1
1977,300300S,5,2,3,1,3,2
1785,i394,5,1,1,4,4,3
677,A62.0T,3,3,5,3,3,5
1043,X3xDrive35i,4,4,2,4,4,5
124,XF25t,3,1,5,4,5,3
1981,TaurusLimited,5,1,2,1,4,4
53,ChallengerGT,2,4,3,4,3,3
561,FitEX,5,4,3,5,3,1
994,ChallengerGT,2,3,2,2,1,1
1792,SportageEX,3,4,2,5,3,2
927,GLSAMG,2,1,4,5,1,4
632,A6Premium,4,2,2,1,3,1
995,ChallengerR/T,2,1,3,3,1,4
1983,MustangGT,5,4,2,5,3,1
638,Crosstrek2.0i,5,2,2,4,2,4
622,Explorer4WD,5,1,3,2,2,2
1011,E-ClassE,3,3,2,5,3,1
1623,XT5AWD,3,5,2,4,4,2
715,Atlas3.6L,1,5,2,3,2,5
64,VeranoSport,5,1,2,2,1,3
1378,C-HRXLE,2,3,2,1,1,5
573,TaurusLimited,4,4,2,1,1,1
911,CTS-V,4,3,3,4,3,1
1967,FiestaSE,2,2,5,2,1,2
1073,WRXManual,5,4,5,1,1,2
213,A3,5,5,2,4,3,1
353,FitLX,3,2,1,1,2,3
1101,CruzeSedan,5,3,1,5,4,4
60,ILXAutomatic,5,4,5,5,2,4
1681,TraverseFWD,4,1,5,1,2,1
401,Q73.0T,5,5,3,4,5,3
1139,ExpeditionKing,4,3,2,5,4,5
1036,FitSport,4,1,1,3,2,4
509,RDXFWD,5,2,5,2,2,3
1750,XT5Luxury,4,4,3,5,3,3
250,EnclavePremium,3,5,3,1,1,5
136,C-ClassC,2,4,1,4,5,5
964,FitEX,4,4,2,2,1,4
1666,EnclavePremium,5,5,5,1,1,5
1032,Wrangler,3,1,1,3,3,1
943,Malibu1LS,2,1,4,3,1,4
1642,Accord,4,2,1,1,2,3
1001,QX30Sport,1,4,5,4,4,3
1907,G803.8L,4,4,1,1,2,4
931,300Limited,4,4,5,4,5,5
1302,EdgeTitanium,4,5,4,4,3,1
844,FusionHybrid,4,4,1,3,3,4
719,CompassLatitude,4,4,5,3,4,5
1990,Transit,1,4,4,4,4,2
725,5,1,1,5,4,3,2
1360,EnvisionFWD,3,3,3,5,3,3
80,ChallengerT/A,4,2,5,4,2,2
227,EdgeTitanium,5,3,3,1,4,1
1171,JourneyCrossroad,5,2,3,1,2,3
414,ChargerDaytona,3,4,5,5,5,1
1837,CorvetteStingray,3,2,4,2,3,5
741,EnclaveLeather,2,5,3,1,2,3
1652,EdgeTitanium,5,3,4,5,2,3
1270,200Limited,4,3,4,3,4,3
1748,FusionS,5,5,1,4,4,3
1970,Grand,1,4,3,2,5,3
345,Yukon2WD,4,1,5,4,2,4
1008,F-PACE35t,2,1,3,1,2,4
1047,SportageSX,2,1,3,2,3,2
1977,S60T5,2,5,4,2,1,3
1574,ExpeditionKing,1,5,4,5,1,2
983,OdysseyElite,1,2,3,5,5,2
1744,CorvetteGrand,2,1,5,5,4,2
132,F-150King,3,1,2,4,1,2
983,MalibuPremier,1,2,1,1,1,3
405,CamaroConvertible,3,1,2,3,2,4
428,OdysseyEX,3,1,3,3,5,1
451,HR-VEX,3,3,3,3,4,1
300,F-PACE25t,1,1,2,1,2,3
558,EnclaveLeather,1,1,3,1,5,1
608,S4Prestige,5,1,2,3,2,2
